Pt-198(n,g) JEFF-3.2
Energy(eV) XS(b)
5723.66 0.00728499
5763.14 0.00708315
5802.61 0.00790832
5842.09 0.00975104
5881.57 0.0132353
5921.05 0.0201618
5940.78 0.0263640
5960.52 0.0363595
5980.26 0.0539589
6000.00 0.0893204
6015.11 0.147665
6022.66 0.201355
6024.55 0.219393
6026.44 0.239960
6028.33 0.263560
6030.22 0.290815
6032.10 0.322531
6033.99 0.359681
6035.88 0.403616
6037.77 0.456007
6039.66 0.519202
6041.55 0.596236
6043.44 0.691467
6045.32 0.810794
6047.21 0.962944
6049.10 1.16034
6050.99 1.42205
6052.88 1.77660
6054.77 2.26921
6056.65 2.96916
6058.54 3.98135
6060.43 5.43979
6063.41 8.71121
6066.39 10.9383
6067.88 10.3228
6069.37 8.79084
6072.35 5.49999
6075.11 3.49966
6077.87 2.33163
6080.64 1.63580
6083.40 1.20065
6088.92 0.717654
6094.44 0.473990
6099.96 0.335434
6105.49 0.249590
6116.53 0.153542
6127.58 0.104009
6138.62 0.0752325
6149.67 0.0570701
6160.71 0.0448925
6182.81 0.0301135
6204.90 0.0218714
6226.99 0.0169388
6238.03 0.0156116
6243.56 0.0167076
6246.32 0.0233555
6247.70 0.0477638
6248.39 0.123446
6248.73 0.308950
6248.91 0.630440
6249.08 1.69289
6249.23 3.37237
6249.39 1.69227
6249.51 0.814312
6249.63 0.454669
6249.88 0.198021
6250.37 0.0752596
6251.35 0.0312847
6253.31 0.0178749
6257.23 0.0138314
6265.07 0.0121090
6280.74 0.0105837
6312.10 0.00873527
6374.81 0.00698881
6437.51 0.00669652
6500.22 0.00763206
6562.93 0.0105505
6594.28 0.0135975
6625.64 0.0190934
6656.99 0.0304378
6672.67 0.0413262
6688.34 0.0604576
6704.02 0.0991206
6711.86 0.135460
6719.70 0.197641
6723.62 0.246864
6725.58 0.278855
6727.54 0.317598
6729.50 0.365174
6730.48 0.393121
6731.46 0.424398
6732.44 0.459625
6733.42 0.499446
6734.40 0.544685
6735.37 0.596302
6736.35 0.655658
6737.33 0.724283
6739.29 0.897746
6741.25 1.14058
6743.21 1.49301
6745.17 2.02802
6747.13 2.88089
6748.11 3.50076
6749.09 4.31152
6750.07 5.37661
6751.05 6.76268
