Nd-145(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
300.759 0.334158
301.739 0.433565
302.720 0.602101
303.700 0.933566
304.190 1.24405
304.680 1.78477
305.170 2.88280
305.415 3.93174
305.660 5.77307
305.782 7.27254
305.905 9.49214
306.027 12.9836
306.150 18.9462
306.211 23.6576
306.272 30.3996
306.334 40.5559
306.395 56.7801
306.456 85.0198
306.487 107.511
306.517 139.854
306.548 188.478
306.579 264.443
306.609 388.624
306.640 594.505
306.675 950.568
306.710 1187.78
306.745 950.403
306.780 594.349
306.816 363.672
306.851 235.791
306.887 162.446
306.922 117.782
306.958 88.9080
306.993 69.4145
307.064 45.6225
307.136 32.2810
307.207 24.1161
307.349 15.0832
307.491 10.4910
307.633 7.86999
307.917 5.20508
308.201 4.03495
308.485 3.52988
309.053 3.57127
309.337 4.02624
309.621 4.85644
309.906 6.27266
310.190 8.74995
310.474 13.4527
310.616 17.5067
310.758 23.7709
310.900 34.1114
311.042 52.6329
311.113 67.6892
311.184 89.3688
311.255 121.243
311.326 167.975
311.433 268.442
311.540 335.280
311.647 268.196
311.754 167.714
311.824 121.547
311.894 89.9228
312.034 53.2128
312.174 34.5326
312.313 24.0445
312.453 17.6510
312.593 13.4925
312.873 8.61591
313.152 5.98464
313.432 4.41021
313.991 2.70376
314.550 1.85231
315.110 1.37474
315.669 1.09238
316.228 0.933848
316.228 0.933811
316.229 0.933678
316.229 0.933565
316.231 0.933339
316.233 0.932888
316.238 0.931973
316.248 0.930167
316.267 0.926653
316.306 0.920028
316.385 0.908335
316.541 0.891502
316.854 0.888030
317.168 0.940596
317.481 1.09444
317.794 1.48166
317.950 1.88181
318.107 2.60718
318.264 4.10253
318.342 5.51707
318.420 7.93351
318.498 12.5732
318.538 16.6757
318.577 23.1932
318.616 34.4656
318.635 43.3944
318.655 56.0711
318.675 74.9609
318.694 103.999
318.704 124.583
318.714 150.864
318.723 184.462
318.733 226.510
318.745 290.345
318.757 362.692
318.780 453.033
318.792 426.026
318.804 362.037
318.827 226.464
318.850 139.304
318.874 90.7357
318.897 62.6268
318.921 45.5257
318.944 34.4192
318.968 26.9132
319.015 17.7087
319.061 12.5388
319.108 9.36048
319.202 5.82765
319.296 4.01480
319.390 2.96296
319.577 1.85132
319.765 1.30430
319.953 0.993263
320.328 0.666702
320.703 0.503700
321.078 0.407985
321.828 0.301157
323.329 0.204812
324.830 0.158729
327.831 0.114414
330.833 0.0971448
333.834 0.0981010
335.335 0.108353
336.836 0.132256
338.337 0.188852
339.087 0.247157
339.837 0.354778
340.213 0.445952
340.588 0.585521
340.963 0.814589
341.338 1.22923
341.526 1.57588
341.713 2.10088
341.901 2.95115
342.088 4.46291
342.182 5.70407
342.276 7.55125
342.370 10.4725
342.464 15.4902
342.511 19.4697
342.557 25.1964
342.604 33.8509
