U-238(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
163.914 8.88022
164.081 8.79614
164.164 8.76234
164.206 8.77977
164.227 8.86234
164.237 9.00199
164.247 9.39574
164.259 10.0936
164.270 9.38113
164.279 9.03193
164.287 8.87285
164.303 8.74595
164.335 8.66511
164.400 8.59929
164.529 8.50315
164.658 8.42098
164.787 8.38820
164.851 8.42633
164.916 8.55265
164.980 8.86787
165.045 9.62651
165.077 10.3678
165.109 11.5982
165.142 13.7545
165.174 17.8298
165.206 26.5807
165.222 34.9771
165.238 49.3539
165.247 60.6870
165.251 68.0777
165.255 76.7279
165.259 87.4731
165.263 100.316
165.267 116.203
165.271 136.118
165.275 162.180
165.279 195.186
165.283 238.698
165.287 297.214
165.291 379.919
165.295 493.358
165.299 654.313
165.303 881.533
165.310 1441.68
165.317 1845.73
165.320 1755.99
165.324 1513.74
165.331 971.233
165.338 581.288
165.346 376.517
165.354 262.358
165.361 193.948
165.369 149.706
165.377 120.259
165.392 84.1970
165.408 63.6682
165.423 50.9828
165.454 36.5604
165.485 28.8796
165.516 24.2820
165.547 21.2674
165.577 19.1793
165.639 16.5061
165.701 14.8993
165.763 13.8414
165.824 13.0982
165.948 12.1305
166.071 11.5316
166.194 11.1249
166.318 10.8300
166.565 10.4274
166.812 10.1608
167.305 9.81494
167.799 9.58426
168.292 9.40643
169.280 9.12170
171.254 8.64117
172.241 8.40754
172.735 8.29905
172.858 8.28145
172.982 8.28691
173.044 8.32012
173.074 8.35947
173.105 8.43422
173.136 8.59227
173.152 8.74143
173.167 8.99394
173.182 9.47147
173.190 9.87995
173.198 10.5116
173.206 11.5546
173.213 13.4283
173.221 17.1552
173.225 20.4533
173.229 25.1761
173.234 35.4445
173.240 42.1179
173.246 35.2542
173.252 25.1717
