50-Sn_n-g
> 50-Sn-112:0.009700
> 50-Sn-114:0.006600
> 50-Sn-115:0.003400
> 50-Sn-116:0.145400
> 50-Sn-117:0.076800
> 50-Sn-118:0.242200
> 50-Sn-119:0.085900
> 50-Sn-120:0.325800
> 50-Sn-122:0.046300
> 50-Sn-124:0.057900
9.225540e+01 1.12575800e-01
9.243030e+01 1.27606990e-01
9.260510e+01 1.46308565e-01
9.277990e+01 1.70001761e-01
9.295470e+01 2.00654707e-01
9.312960e+01 2.41308447e-01
9.330440e+01 2.96864202e-01
9.347920e+01 3.75649518e-01
9.362450e+01 4.72893225e-01
9.365410e+01 4.92704301e-01
9.365750e+01 4.96298888e-01
9.375000e+01 5.94093277e-01
9.382890e+01 6.77566444e-01
9.400370e+01 9.94504454e-01
9.409110e+01 1.24545617e+00
9.417850e+01 1.60603728e+00
9.426590e+01 2.15000660e+00
9.435340e+01 3.02406708e+00
9.444080e+01 4.55218870e+00
9.448450e+01 5.77846906e+00
9.452820e+01 7.55213981e+00
9.457190e+01 1.02297342e+01
9.461560e+01 1.44670594e+01
9.465930e+01 2.14933287e+01
9.470300e+01 3.33405949e+01
9.475150e+01 5.33183124e+01
9.480000e+01 6.66146698e+01
9.484850e+01 5.32723052e+01
9.489700e+01 3.32921336e+01
9.493690e+01 2.22632044e+01
9.497670e+01 1.54173030e+01
9.501660e+01 1.11280308e+01
9.505650e+01 8.34013433e+00
9.513620e+01 5.12639786e+00
9.521590e+01 3.44600829e+00
9.526540e+01 2.83971350e+00
9.529570e+01 2.46858846e+00
9.531250e+01 2.33895898e+00
9.537540e+01 1.85362127e+00
9.553490e+01 1.15534472e+00
