Cl-37(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
218788 0.00110225
218844 0.000795821
218900 0.000633880
218956 0.000536513
219068 0.000428097
219180 0.000377493
219404 0.000430721
219516 0.000745234
219572 0.00133749
219600 0.00202610
219628 0.00328895
219654 0.00494001
219668 0.00538323
219681 0.00518189
219735 0.00221188
219757 0.00154467
219779 0.00113350
219822 0.000698629
219865 0.000491683
219909 0.000379185
219995 0.000266926
220082 0.000214631
220255 0.000170266
220428 0.000160036
220602 0.000177981
220688 0.000205251
220775 0.000258892
220862 0.000372752
220948 0.000662172
221035 0.00174917
221057 0.00249823
221078 0.00383622
221089 0.00493428
221100 0.00650522
221111 0.00881338
221122 0.0121893
221130 0.0155876
221138 0.0194296
221154 0.0239293
221163 0.0223418
221171 0.0188778
221187 0.0117930
221198 0.00861145
221208 0.00641741
221229 0.00384843
221250 0.00252757
221271 0.00178037
221292 0.00132238
221313 0.00102323
221355 0.000671383
221397 0.000479964
221439 0.000365006
221523 0.000239043
221607 0.000174853
221691 0.000137512
221858 9.72624E-05
222026 7.65271E-05
222194 6.40336E-05
222530 4.96413E-05
223201 3.60899E-05
223872 2.95059E-05
225215 2.48390E-05
225886 2.91374E-05
226222 4.63459E-05
226390 0.000108333
226474 0.000342271
226516 0.00121644
226537 0.00429151
226547 0.0138412
226552 0.0370075
226555 0.0766244
226558 0.206489
226560 0.408770
226561 0.323665
226562 0.202165
226567 0.0483382
226571 0.0193498
226579 0.00631002
226596 0.00184085
226629 0.000518591
226696 0.000160348
226830 7.22969E-05
227098 7.50849E-05
227365 0.000202849
227499 0.000636370
227566 0.00182585
227599 0.00422845
227616 0.00748440
227633 0.0150307
227644 0.0240356
227655 0.0300672
227667 0.0240914
227678 0.0150746
227694 0.00756124
227711 0.00430293
227744 0.00187118
227809 0.000654956
227941 0.000208309
228203 7.29570E-05
228728 4.25880E-05
228991 4.79897E-05
229254 7.03108E-05
229385 9.76786E-05
229516 0.000155583
229582 0.000210714
229648 0.000303297
229713 0.000469564
229779 0.000775399
229841 0.00121521
229903 0.00144978
230028 0.000692673
