47-Ag_n-g
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
1.015650e+02 8.81594800e-02
1.016630e+02 8.29682951e-02
1.018590e+02 7.85112268e-02
1.020540e+02 7.67020605e-02
1.028360e+02 7.47284698e-02
1.031150e+02 7.46787267e-02
1.038930e+02 7.86131811e-02
1.044000e+02 8.63685682e-02
1.046720e+02 9.09195113e-02
1.050610e+02 1.07682948e-01
1.052560e+02 1.23638646e-01
1.054500e+02 1.51447849e-01
1.056450e+02 2.06937949e-01
1.057420e+02 2.58208744e-01
1.058400e+02 3.44193869e-01
1.059370e+02 5.04883084e-01
1.059640e+02 5.80973265e-01
1.059860e+02 6.43052667e-01
1.060340e+02 8.56672980e-01
1.060830e+02 1.21143407e+00
1.061320e+02 1.85174654e+00
1.061560e+02 2.37900704e+00
1.061800e+02 3.14380723e+00
1.062050e+02 4.28195163e+00
1.062290e+02 5.97421709e+00
1.062650e+02 9.53185616e+00
1.063000e+02 1.19097866e+01
1.063360e+02 9.52907801e+00
1.063550e+02 7.59756118e+00
1.063710e+02 5.97114157e+00
1.063990e+02 4.09680104e+00
1.064260e+02 2.90777421e+00
1.064540e+02 2.14345322e+00
1.064810e+02 1.63992599e+00
1.065360e+02 1.04844122e+00
1.065910e+02 7.34633509e-01
1.066460e+02 5.49993604e-01
1.067010e+02 4.33366181e-01
1.067460e+02 3.79467167e-01
1.068120e+02 3.01629551e-01
1.069220e+02 2.34314932e-01
1.069420e+02 2.27365390e-01
1.070320e+02 2.00134032e-01
1.071370e+02 1.86915831e-01
1.072350e+02 1.84316679e-01
1.072520e+02 1.87370121e-01
1.073330e+02 2.10222772e-01
1.073810e+02 2.43017359e-01
1.074300e+02 3.05931780e-01
1.074720e+02 4.18380806e-01
1.074790e+02 4.37427579e-01
1.075040e+02 5.55496853e-01
1.075280e+02 7.31399386e-01
1.075640e+02 1.10638200e+00
1.076000e+02 1.35759901e+00
1.076360e+02 1.10286219e+00
