Rh-103(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
472.772 24.5324
472.806 35.8705
472.840 43.4028
472.874 35.8324
472.909 24.5275
472.933 19.0259
472.956 15.3695
472.980 12.9277
473.004 11.2586
473.052 9.22972
473.100 8.11650
473.148 7.44567
473.196 7.01432
473.291 6.51199
473.387 6.24263
473.483 6.08151
473.674 5.90571
473.865 5.81563
474.057 5.76234
474.439 5.70255
474.822 5.66898
475.205 5.64630
475.970 5.61477
477.501 5.57300
478.267 5.56457
478.458 5.56952
478.649 5.58846
478.745 5.61368
478.841 5.67180
478.889 5.73192
478.936 5.84214
478.984 6.06757
479.008 6.26903
479.032 6.57145
479.066 7.19375
479.100 7.60651
479.134 7.19025
479.168 6.56842
479.196 6.22119
479.225 6.00707
479.281 5.78588
479.338 5.68500
479.394 5.63190
479.507 5.58039
479.620 5.55655
479.845 5.53415
480.071 5.52269
480.974 5.49855
482.780 5.47006
483.683 5.46442
