Se-78(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.01830E+07 0.000624799
1.02441E+07 0.000627932
1.03051E+07 0.000631063
1.03661E+07 0.000634189
1.04271E+07 0.000637313
1.04881E+07 0.000640434
1.05442E+07 0.000647722
1.05908E+07 0.000653809
1.06374E+07 0.000659926
1.06375E+07 0.000659934
1.07247E+07 0.000671471
1.08120E+07 0.000683113
1.09060E+07 0.000695772
1.10000E+07 0.000708554
1.11914E+07 0.000751627
1.13829E+07 0.000796518
1.15743E+07 0.000843276
1.17657E+07 0.000891942
1.17804E+07 0.000895746
1.17950E+07 0.000899560
1.18096E+07 0.000903387
1.18243E+07 0.000907223
1.18389E+07 0.000911074
1.18536E+07 0.000914933
1.18682E+07 0.000918804
1.18829E+07 0.000922687
1.18975E+07 0.000926583
1.19121E+07 0.000930489
1.19268E+07 0.000934409
1.19414E+07 0.000938338
1.19561E+07 0.000942282
1.19707E+07 0.000946234
1.19854E+07 0.000950198
1.20000E+07 0.000954174
1.20305E+07 0.000957164
1.20610E+07 0.000960155
1.20915E+07 0.000963148
1.21220E+07 0.000966143
1.21525E+07 0.000969139
1.21830E+07 0.000972137
1.22135E+07 0.000975137
1.22440E+07 0.000978139
1.22745E+07 0.000981143
1.23050E+07 0.000984148
1.23355E+07 0.000987155
1.23660E+07 0.000990163
1.23965E+07 0.000993174
1.24270E+07 0.000996186
1.24575E+07 0.000999200
1.24880E+07 0.00100222
1.26160E+07 0.00101489
1.27440E+07 0.00102759
1.28720E+07 0.00104033
1.30000E+07 0.00105309
1.30313E+07 0.00105183
1.30625E+07 0.00105058
1.30938E+07 0.00104934
1.31250E+07 0.00104809
1.31563E+07 0.00104685
1.31875E+07 0.00104562
1.32188E+07 0.00104439
1.32500E+07 0.00104317
1.32813E+07 0.00104194
1.33125E+07 0.00104073
1.33438E+07 0.00103952
1.33750E+07 0.00103831
1.34063E+07 0.00103710
1.34375E+07 0.00103590
1.34688E+07 0.00103471
1.35000E+07 0.00103352
1.35313E+07 0.00103233
1.35625E+07 0.00103115
1.35938E+07 0.00102997
1.36250E+07 0.00102879
1.36563E+07 0.00102762
1.36875E+07 0.00102645
1.37188E+07 0.00102529
1.37500E+07 0.00102413
1.37813E+07 0.00102298
1.38125E+07 0.00102183
1.38438E+07 0.00102068
1.38750E+07 0.00101954
1.39063E+07 0.00101840
1.39375E+07 0.00101726
1.39688E+07 0.00101613
1.40000E+07 0.00101500
1.40625E+07 0.00101035
1.41250E+07 0.00100575
