La-139(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2543.66 2.66618
2568.11 2.51514
2592.57 2.39786
2617.02 2.29099
2629.25 2.23507
2641.48 2.16938
2647.60 2.12620
2650.65 2.09846
2653.71 2.06273
2656.77 2.01160
2658.30 1.97501
2659.82 1.92469
2661.35 1.84913
2662.12 1.79457
2662.88 1.72102
2663.65 1.61811
2664.41 1.47976
2664.79 1.42336
2664.98 1.43246
2665.17 1.52909
2665.36 1.88760
2665.46 2.33207
2665.56 3.20567
2665.65 5.12711
2665.70 6.96188
2665.75 9.94780
2665.79 15.3968
2665.82 19.8105
2665.84 26.1869
2665.87 35.7132
2665.89 50.4624
2665.91 74.0261
2665.94 110.159
2665.97 186.796
2666.00 244.758
2666.03 207.965
2666.06 136.859
2666.09 99.4754
2666.11 74.3596
2666.13 57.4491
2666.16 45.7861
2666.20 31.1937
2666.25 23.1902
2666.30 18.1561
2666.34 14.9040
2666.43 10.9358
2666.53 8.70215
2666.62 7.30394
2666.71 6.36092
2666.81 5.68894
2666.99 4.80569
2667.18 4.25828
2667.36 3.88948
2667.55 3.62698
2667.92 3.27676
2668.29 3.05644
2669.04 2.79638
2669.78 2.64795
2670.52 2.55208
2672.01 2.43456
2673.50 2.36434
2674.98 2.31676
2677.96 2.25446
2680.93 2.21342
2683.91 2.18273
2689.85 2.13650
2701.75 2.06839
2713.65 2.01140
2737.44 1.90484
2761.23 1.79571
2785.02 1.67679
2808.81 1.54058
2820.71 1.46145
2826.66 1.41736
2832.61 1.36902
2838.55 1.31568
2844.50 1.26338
2847.48 1.25563
2848.96 1.27387
2850.45 1.33668
2851.19 1.40558
2851.94 1.52641
2852.68 1.74847
2853.42 2.18791
2853.80 2.57491
2854.17 3.17775
2854.54 4.17353
2854.91 5.95069
2855.28 9.53739
2855.47 12.8258
2855.66 18.2277
2855.84 27.8941
2855.93 35.7911
2856.03 47.3751
2856.12 65.1299
2856.21 93.7360
2856.31 142.161
2856.40 224.698
2856.50 365.464
2856.60 464.834
2856.70 378.477
2856.80 240.961
2856.92 141.136
2857.04 89.6157
2857.15 61.2139
2857.27 44.5927
2857.39 33.9824
2857.50 26.9384
2857.73 18.3887
2857.97 13.5794
2858.20 10.6145
2858.66 7.28892
2859.13 5.54176
2859.60 4.50551
2860.06 3.83270
2860.53 3.36968
2861.46 2.78251
2862.39 2.43297
2863.32 2.20432
2864.25 2.04431
2866.11 1.83620
2867.97 1.70672
2871.70 1.55211
2875.42 1.45981
2879.15 1.39592
2886.59 1.30929
2901.49 1.21893
2916.38 1.23265
2931.28 1.45900
2938.73 1.74569
