38-Sr_n-tot
>  38-Sr-84:0.005600
>  38-Sr-86:0.098600
>  38-Sr-87:0.070000
>  38-Sr-88:0.825800
>  38-Sr-89:0.000000
>  38-Sr-90:0.000000
7.121540e+02 1.03799276e+01
7.122240e+02 9.48083133e+00
7.122940e+02 8.93543107e+00
7.123640e+02 8.59987962e+00
7.124350e+02 8.38371137e+00
7.125750e+02 8.13457462e+00
7.127160e+02 8.00228260e+00
7.128560e+02 7.92310641e+00
7.129970e+02 7.87147510e+00
7.132780e+02 7.80908057e+00
7.135590e+02 7.77289012e+00
7.138400e+02 7.74898439e+00
7.141210e+02 7.73165641e+00
7.142710e+02 7.72447283e+00
7.144020e+02 7.71810500e+00
7.149650e+02 7.69728482e+00
7.155270e+02 7.68118654e+00
7.160890e+02 7.66757298e+00
7.166510e+02 7.65541487e+00
7.177760e+02 7.63353520e+00
7.181000e+02 7.62774706e+00
7.189000e+02 7.61271665e+00
7.191980e+02 7.60737068e+00
7.200240e+02 7.59604811e+00
7.211490e+02 7.58119579e+00
7.219290e+02 7.57123495e+00
7.233980e+02 7.55101672e+00
7.238430e+02 7.54503515e+00
7.256460e+02 7.51933822e+00
7.257580e+02 7.51776784e+00
7.276720e+02 7.48945577e+00
7.295870e+02 7.46108955e+00
7.301440e+02 7.45383386e+00
7.305440e+02 7.44868309e+00
7.315020e+02 7.44033016e+00
7.324590e+02 7.44187604e+00
7.334160e+02 7.46893201e+00
7.338950e+02 7.50425445e+00
7.343730e+02 7.56985619e+00
7.346420e+02 7.63931987e+00
7.348520e+02 7.69356355e+00
7.353310e+02 7.93951571e+00
7.355700e+02 8.15326011e+00
7.358090e+02 8.47943150e+00
