Pd-105(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
286.745 20.2015
286.798 29.6414
286.824 37.4485
286.850 48.8753
286.876 65.9665
286.902 91.3985
286.922 116.974
286.941 146.675
286.980 186.284
287.019 153.310
287.058 99.6906
287.094 66.3267
287.130 46.6113
287.166 34.7090
287.202 27.1677
287.274 18.6573
287.346 14.2645
287.418 11.7124
287.490 10.0975
287.634 8.23727
287.778 7.23794
287.922 6.63325
288.210 5.95778
288.498 5.59903
288.786 5.37948
289.362 5.12373
289.938 4.97514
290.514 4.87317
291.666 4.72969
293.970 4.52210
296.274 4.33412
297.426 4.23970
298.579 4.14914
299.731 4.07831
300.883 4.07845
301.459 4.15000
302.035 4.33214
302.611 4.74482
303.187 5.68629
303.475 6.58056
303.763 8.03935
304.051 10.5538
304.339 15.2442
304.483 19.1845
304.627 25.0927
304.771 34.4113
304.915 50.1248
305.059 79.1610
305.131 103.569
305.203 140.304
305.275 198.464
305.347 296.250
305.419 471.529
305.491 797.122
305.561 1305.02
305.630 1670.98
305.700 1371.62
305.769 880.518
305.832 578.966
305.896 398.281
305.959 287.985
306.022 217.722
306.149 137.803
306.275 96.3011
306.401 72.0614
306.528 56.6894
306.781 38.9268
307.034 29.3666
307.287 23.5873
307.540 19.7966
307.792 17.1577
308.298 13.7828
308.804 11.7557
309.310 10.4222
309.816 9.48594
310.827 8.26658
311.839 7.52101
312.345 7.27583
312.598 7.20022
312.851 7.18923
313.104 7.33236
313.230 7.54325
313.357 7.97327
313.483 8.90777
313.546 9.78945
313.610 11.2505
313.673 13.8643
313.736 19.0308
313.768 23.6155
313.799 30.7767
313.831 42.3832
313.862 61.4046
313.882 77.9425
313.901 97.2922
313.940 123.818
313.979 103.505
314.018 69.1518
314.045 51.7442
314.073 40.0103
314.100 32.0617
314.127 26.5931
314.182 19.8452
314.237 16.0597
314.292 13.7282
314.347 12.1924
314.457 10.3498
314.566 9.31431
314.676 8.66601
314.896 7.90993
315.115 7.48468
315.335 7.20971
315.773 6.86538
316.212 6.64737
316.651 6.48895
317.529 6.26005
319.285 5.95693
321.041 5.74391
322.796 5.57487
324.552 5.43305
325.430 5.37471
325.869 5.35374
326.308 5.34730
326.747 5.38046
326.966 5.43579
327.186 5.55635
327.405 5.83842
327.515 6.12311
327.625 6.62771
327.734 7.62115
327.789 8.50645
327.844 9.91237
327.899 12.3163
327.954 16.8052
327.981 20.6052
328.009 26.2510
328.036 34.8859
328.064 48.1243
328.102 75.5123
328.140 95.0519
328.178 78.6387
328.217 52.1216
328.262 32.4569
328.307 22.3291
328.352 16.8378
328.397 13.6095
328.443 11.5709
328.488 10.2062
328.578 8.55127
328.669 7.62171
328.759 7.04509
328.940 6.39026
329.120 6.03981
329.301 5.82624
329.663 5.58139
330.024 5.44393
330.386 5.35343
331.109 5.23447
332.555 5.08543
334.001 4.97297
336.893 4.77591
338.339 4.70532
338.700 4.71207
339.062 4.77357
339.243 4.87181
339.333 4.96755
339.423 5.13068
339.514 5.43580
339.604 6.09119
339.649 6.73147
339.695 7.84524
339.740 9.95201
339.785 14.1553
339.822 19.9108
339.860 23.7454
339.898 19.9068
339.935 14.1460
339.963 11.1937
339.991 9.27689
340.020 8.02852
340.048 7.19189
340.104 6.19657
340.160 5.65876
340.216 5.33828
340.272 5.13242
340.385 4.89228
340.610 4.68026
340.834 4.58614
341.284 4.49433
341.733 4.44327
342.632 4.38840
343.531 4.40870
343.981 4.47947
344.430 4.63751
344.880 4.97021
345.329 5.69059
345.554 6.35421
345.779 7.41539
346.003 9.21125
346.228 12.4985
346.453 19.2751
346.565 25.5984
346.678 36.1298
346.790 55.3441
346.846 71.3101
346.902 95.0436
346.959 132.194
347.015 193.618
347.071 301.257
347.127 494.984
347.184 804.343
347.240 1023.87
347.297 838.345
347.353 537.608
347.409 340.441
347.465 227.862
347.521 161.831
347.578 120.872
347.634 94.0307
347.690 75.5873
347.802 52.6589
347.914 39.4916
348.026 31.2400
348.251 21.8150
348.475 16.7946
348.700 13.7793
349.149 10.4408
349.597 8.69386
350.046 7.64884
350.944 6.52734
351.393 6.25628
351.842 6.16530
352.291 6.33476
352.740 7.01060
353.188 8.95058
353.413 11.0891
353.637 15.0929
353.862 23.4445
353.974 31.2460
354.086 44.2010
354.142 54.0451
354.198 67.5752
354.255 86.7444
354.311 114.897
