38-Sr_n-g
>  38-Sr-84:0.005600
>  38-Sr-86:0.098600
>  38-Sr-87:0.070000
>  38-Sr-88:0.825800
>  38-Sr-89:0.000000
>  38-Sr-90:0.000000
6.764590e+02 6.78048110e-01
6.765780e+02 4.72410704e-01
6.766980e+02 3.50945524e-01
6.768180e+02 2.73232444e-01
6.769370e+02 2.20626939e-01
6.771770e+02 1.55921478e-01
6.774160e+02 1.19178193e-01
6.776550e+02 9.62925975e-02
6.778950e+02 8.10532672e-02
6.783730e+02 6.25840363e-02
6.788520e+02 5.21636406e-02
6.793300e+02 4.56385796e-02
6.798090e+02 4.12260739e-02
6.807660e+02 3.56743772e-02
6.809060e+02 3.51798394e-02
6.817240e+02 3.24769408e-02
6.831670e+02 2.97003311e-02
6.836380e+02 2.87994288e-02
6.855530e+02 2.65790432e-02
6.874670e+02 2.49485138e-02
6.879470e+02 2.46337192e-02
6.912960e+02 2.24732133e-02
6.927270e+02 2.17589965e-02
6.936700e+02 2.13094445e-02
6.975070e+02 2.01588924e-02
6.989540e+02 1.97820533e-02
6.998970e+02 1.96190696e-02
7.022870e+02 1.93590691e-02
7.034820e+02 1.93446864e-02
7.046770e+02 1.94799413e-02
7.058720e+02 1.98919707e-02
7.066130e+02 2.05037907e-02
7.070670e+02 2.09217731e-02
7.076640e+02 2.19036107e-02
7.082620e+02 2.34386907e-02
7.088590e+02 2.59849107e-02
7.094570e+02 3.05916691e-02
7.097550e+02 3.44117899e-02
7.100540e+02 4.01287611e-02
7.103530e+02 4.92247163e-02
7.106520e+02 6.49387515e-02
7.109500e+02 9.55825923e-02
7.111000e+02 1.23112727e-01
7.111750e+02 1.42560955e-01
7.112120e+02 1.54305903e-01
7.112490e+02 1.67751011e-01
7.112870e+02 1.83280290e-01
7.113240e+02 2.01237319e-01
7.113610e+02 2.22262587e-01
7.113990e+02 2.46939466e-01
7.114360e+02 2.76306495e-01
7.114730e+02 3.11392803e-01
7.115110e+02 3.53841842e-01
7.115480e+02 4.05772391e-01
7.115850e+02 4.70267099e-01
7.116230e+02 5.50984298e-01
7.116600e+02 6.53975087e-01
7.116970e+02 7.86577555e-01
7.117350e+02 9.60631074e-01
7.117720e+02 1.19048874e+00
7.118090e+02 1.49633281e+00
7.118470e+02 1.89954953e+00
7.119230e+02 3.02995417e+00
7.120000e+02 3.78203946e+00
7.120380e+02 3.56012258e+00
7.120770e+02 3.02791514e+00
7.121540e+02 1.89899963e+00
7.122240e+02 1.22095797e+00
7.122940e+02 8.22451503e-01
7.123640e+02 5.83774638e-01
7.124350e+02 4.33786503e-01
7.125750e+02 2.66578133e-01
7.127160e+02 1.81870494e-01
7.128560e+02 1.33518764e-01
7.129970e+02 1.03508564e-01
7.132780e+02 6.98199061e-02
7.135590e+02 5.23853604e-02
7.138400e+02 4.22184386e-02
7.141210e+02 3.57746209e-02
7.142710e+02 3.34561260e-02
7.144020e+02 3.14502338e-02
7.149650e+02 2.62086065e-02
7.155270e+02 2.32591762e-02
7.160890e+02 2.14366394e-02
7.166510e+02 2.02319059e-02
7.177760e+02 1.87871850e-02
7.181000e+02 1.85560347e-02
7.189000e+02 1.81668039e-02
7.191980e+02 1.81039074e-02
7.200240e+02 1.80261629e-02
7.211490e+02 1.80880761e-02
7.219290e+02 1.82204531e-02
7.233980e+02 1.89686054e-02
7.238430e+02 1.92289127e-02
7.256460e+02 2.10701845e-02
7.257580e+02 2.11897037e-02
7.276720e+02 2.47743681e-02
7.295870e+02 3.15475544e-02
7.301440e+02 3.49088528e-02
7.305440e+02 3.73325854e-02
7.315020e+02 4.61866325e-02
7.324590e+02 6.06116529e-02
7.334160e+02 8.63638634e-02
7.338950e+02 1.07559982e-01
7.343730e+02 1.39144964e-01
7.346420e+02 1.67238683e-01
7.348520e+02 1.89172657e-01
7.353310e+02 2.75258607e-01
7.355700e+02 3.43679108e-01
7.358090e+02 4.42257010e-01
7.360490e+02 5.91539958e-01
