Pb-204(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
19724.7 4.51569
19728.4 3.98087
19732.1 3.27330
19734.0 2.85302
19735.8 2.42212
19737.7 2.11713
19738.6 2.14412
19739.5 2.48350
19740.5 3.49922
19740.9 4.50520
19741.4 6.04137
19741.9 8.48681
19742.3 12.2231
19742.8 18.1985
19743.3 27.2742
19743.7 40.1219
19744.1 57.0232
19745.0 91.8803
19745.4 97.4681
19745.9 92.9210
19746.7 72.0776
19747.7 52.2060
19748.7 39.9047
19749.7 32.2889
19750.7 27.3157
19751.7 23.8868
19752.7 21.4107
19754.7 18.1167
19756.6 16.0512
19758.6 14.6473
19762.6 12.8785
19766.5 11.8118
19770.5 11.1028
19774.5 10.5983
19778.4 10.2222
19786.3 9.69622
19794.2 9.34722
19802.2 9.09787
19810.1 8.91090
19825.9 8.64776
19841.7 8.47038
19857.6 8.34167
19873.4 8.24324
19905.0 8.10036
19936.7 7.99924
20000.0 7.85888
20048.2 7.78056
20096.3 7.71517
20192.7 7.60511
20385.3 7.41656
20578.0 7.23134
20674.4 7.13257
20722.5 7.08085
20746.6 7.05756
20758.6 7.06465
20764.7 7.15072
20766.2 7.24536
20767.7 7.50326
20768.4 7.84149
20769.2 8.66931
20769.6 9.64059
20769.9 11.6525
20770.1 13.6595
20770.3 17.1678
20770.5 23.8488
20770.7 36.8285
20770.8 54.6731
20771.0 67.3130
20771.2 55.2249
20771.3 37.5119
20771.4 29.0585
20771.5 23.0645
20771.7 16.5222
20772.0 13.0901
20772.2 11.2738
20772.6 9.40632
20773.0 8.54787
20773.9 7.80731
20774.8 7.50431
20776.5 7.26143
20778.2 7.16636
20785.1 7.05862
20798.8 7.01278
20826.3 6.97096
20881.3 6.90066
20991.4 6.75365
21211.4 6.39563
21321.5 6.16807
21431.5 5.89121
21541.5 5.54307
21569.0 5.44116
21596.5 5.33264
21624.0 5.22427
21637.8 5.21247
21641.2 5.25243
21644.7 5.39626
21646.4 5.60470
21648.1 6.16740
21649.0 6.87271
21649.4 7.50824
21649.8 8.53836
21650.2 10.3547
21650.7 13.9521
21650.9 17.2757
21651.1 22.3161
21651.3 30.6011
21651.5 44.4264
21651.8 68.4381
21652.0 84.7874
21652.2 69.2548
21652.5 45.4465
21652.7 29.1546
21653.0 20.4077
21653.3 15.5244
21653.5 12.6923
21654.0 9.57008
21654.5 8.03432
21655.0 7.17166
21655.6 6.63972
