Mo-95(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
675.302 2.44395
675.861 3.10025
676.420 4.06403
676.979 5.56032
677.537 8.06261
677.817 9.99543
678.096 12.7061
678.375 16.6691
678.655 22.7616
678.934 32.7619
679.213 50.5689
679.353 64.9475
679.493 85.5776
679.632 115.738
679.772 159.654
679.986 255.488
680.200 319.325
680.414 255.300
680.628 159.470
680.794 108.966
680.960 76.7592
681.126 56.1084
681.292 42.4482
681.292 42.4348
681.293 42.3876
681.294 42.3406
681.295 42.2534
681.297 42.0797
681.303 41.7355
681.313 41.0526
681.334 39.7399
681.376 37.2887
681.459 32.9971
681.627 26.3157
681.961 17.7740
682.295 12.7628
682.630 9.59044
683.299 5.96765
683.967 4.06304
684.636 2.94231
685.305 2.22846
686.643 1.40556
687.980 0.967844
689.318 0.708034
691.993 0.429071
694.668 0.292667
697.343 0.221789
700.019 0.207545
700.687 0.228693
701.356 0.297629
701.691 0.390857
701.858 0.478947
702.025 0.629043
702.192 0.914843
702.276 1.16516
702.359 1.56058
702.443 2.23463
702.527 3.50657
702.568 4.59518
702.610 6.24707
702.652 8.83732
702.694 12.9241
702.747 20.5794
702.800 25.6818
702.853 20.5814
702.906 12.9272
702.948 8.87958
702.989 6.29994
703.030 4.64708
703.071 3.55607
703.154 2.27327
703.236 1.59215
703.319 1.19150
703.402 0.938164
703.567 0.649290
703.732 0.498705
703.897 0.411651
704.227 0.323606
704.887 0.276933
705.548 0.304412
706.208 0.412357
706.538 0.527914
706.869 0.737669
707.199 1.16701
707.364 1.56981
707.529 2.25281
707.694 3.54496
707.777 4.66999
707.859 6.43258
707.942 9.41012
708.024 14.9328
708.066 19.5870
708.107 26.5163
708.148 37.1806
708.189 53.5593
708.245 85.6871
708.300 107.060
708.355 85.6293
708.411 53.5645
708.447 38.8234
708.483 28.7372
708.555 17.0220
708.628 11.0510
708.700 7.70325
708.772 5.65970
708.844 4.33260
708.989 2.77628
709.133 1.93638
709.278 1.43402
709.566 0.888744
709.855 0.614859
710.144 0.458010
710.722 0.293768
711.300 0.213316
711.878 0.167494
713.033 0.118911
714.189 0.0941096
715.345 0.0791317
717.656 0.0616784
722.279 0.0447412
726.901 0.0362886
731.524 0.0320836
736.146 0.0327967
738.458 0.0377944
739.613 0.0436086
740.769 0.0547705
741.925 0.0791315
742.503 0.103390
743.080 0.147195
743.369 0.183651
743.658 0.238542
743.947 0.326715
744.236 0.481546
744.525 0.791495
744.669 1.07832
744.814 1.55859
744.958 2.45313
745.031 3.21829
745.103 4.39862
745.175 6.34698
745.247 9.83608
745.319 16.7604
745.356 22.7823
745.392 31.6267
745.446 50.5960
745.500 63.2449
745.554 50.5991
745.608 31.6308
745.656 20.6954
745.703 14.0906
745.750 10.0456
745.797 7.46549
745.891 4.53503
745.985 3.02842
746.079 2.15998
746.173 1.61776
746.362 1.00571
746.550 0.687261
746.738 0.501178
746.926 0.383207
747.115 0.303820
747.491 0.206870
747.868 0.152239
748.621 0.0961212
749.374 0.0693941
750.127 0.0546606
751.633 0.0400017
753.139 0.0335499
754.646 0.0306464
757.658 0.0305275
760.670 0.0378520
762.177 0.0468151
763.683 0.0640770
764.436 0.0789367
765.189 0.101848
765.942 0.139649
766.695 0.208392
767.072 0.266030
767.448 0.353498
767.825 0.495594
768.201 0.749117
768.390 0.958077
768.578 1.27018
768.766 1.76616
768.954 2.62342
769.143 4.30041
769.237 5.81211
769.331 8.27620
769.425 12.6819
769.472 16.2958
769.519 21.6236
769.566 29.9115
769.613 43.5146
769.637 53.7248
769.660 67.3417
769.684 85.6901
769.707 110.199
769.731 141.134
769.754 176.338
769.800 220.439
769.823 207.408
769.846 176.325
769.893 110.184
769.947 62.6584
770.001 38.5475
770.055 25.6205
770.110 18.1079
770.164 13.4193
770.218 10.3187
770.326 6.62375
770.435 4.59918
770.543 3.37709
770.760 2.04054
770.977 1.36535
771.194 0.978284
771.411 0.735932
771.627 0.574388
772.061 0.379061
772.495 0.270008
772.929 0.202995
773.362 0.158894
774.230 0.106249
775.097 0.0772008
775.964 0.0594711
776.832 0.0478438
778.566 0.0339795
780.301 0.0263014
783.771 0.0184404
787.240 0.0146250
790.709 0.0124438
797.648 0.0101245
811.526 0.00841251
825.404 0.00824769
825.404 0.00824769
825.405 0.00824771
825.405 0.00824773
825.406 0.00824776
825.409 0.00824782
825.413 0.00824795
825.422 0.00824820
825.440 0.00824871
825.475 0.00824973
825.546 0.00825179
825.688 0.00825601
825.973 0.00826481
826.541 0.00828382
827.678 0.00832762
829.951 0.00843901
834.498 0.00876449
843.592 0.00992905
852.686 0.0121590
861.780 0.0165095
866.327 0.0202691
870.874 0.0260790
875.421 0.0356966
879.968 0.0532910
882.242 0.0681436
884.515 0.0908596
886.789 0.128158
889.062 0.195838
890.199 0.252577
891.336 0.338777
892.472 0.479053
893.609 0.730213
894.178 0.937948
894.746 1.24937
895.314 1.74683
895.883 2.61363
896.451 4.32953
896.735 5.89783
897.019 8.49059
897.304 13.2235
897.446 17.1923
897.588 23.1891
897.730 32.7882
897.872 49.2802
898.014 79.9688
898.085 105.034
898.156 140.037
898.278 224.038
898.400 280.008
898.522 223.976
898.644 139.975
898.774 83.4832
898.905 53.0490
899.035 36.0226
899.165 25.8406
899.295 19.3488
899.426 14.9916
899.686 9.72358
899.947 6.79629
900.207 5.01119
900.728 3.04153
901.250 2.03894
901.771 1.46101
902.292 1.09810
902.813 0.855531
903.855 0.561583
904.897 0.397160
905.939 0.296018
906.981 0.229441
909.066 0.150058
911.150 0.106407
913.234 0.0799407
915.319 0.0627818
919.487 0.0430509
923.656 0.0340566
925.740 0.0332427
927.824 0.0383877
928.867 0.0481391
929.909 0.0771525
930.430 0.116685
930.690 0.154902
930.951 0.221834
931.211 0.355118
931.342 0.477550
931.472 0.680845
931.602 1.05468
931.667 1.37011
