Cl-35(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
397.598 183.685
397.639 193.557
397.649 195.696
397.681 202.058
397.691 203.821
397.712 207.299
397.732 210.026
397.743 211.366
397.764 213.193
397.774 214.083
397.795 214.910
397.807 215.381
397.815 215.441
397.847 214.691
397.867 213.365
397.888 211.390
397.909 208.846
397.930 205.722
397.950 202.122
397.992 193.635
398.033 183.867
398.054 178.540
398.106 165.172
398.189 143.538
398.230 133.247
398.272 123.514
398.313 114.416
398.355 105.985
398.396 98.2236
398.438 91.1114
398.479 84.6148
398.521 78.6929
398.562 73.3011
398.604 68.3944
398.645 63.9289
398.687 59.8629
398.728 56.1580
398.770 52.7784
398.811 49.6984
398.853 46.8695
398.894 44.2899
398.936 41.9139
398.977 39.7404
399.019 37.7326
399.060 35.8899
399.102 34.1825
399.143 32.6131
399.185 31.1550
399.226 29.7979
399.268 28.5470
399.309 27.3798
399.351 26.2891
399.392 25.2790
399.434 24.3329
399.475 23.4453
399.517 22.6210
399.558 21.8461
399.600 21.1167
399.641 20.4293
399.683 19.7893
399.724 19.1852
399.766 18.6141
399.807 18.0737
399.849 17.5618
399.890 17.0830
399.953 16.4102
400.036 15.5897
400.119 14.8567
400.207 14.1515
400.254 13.8055
400.305 13.4412
400.357 13.1023
400.435 12.6277
400.513 12.1898
400.617 11.6565
400.720 11.1827
400.824 10.7532
400.928 10.3623
401.032 10.0054
401.135 9.68535
401.239 9.39183
401.343 9.12188
401.447 8.87294
401.550 8.64278
401.654 8.43478
401.758 8.24193
401.862 8.06274
401.965 7.89589
402.069 7.74022
402.173 7.59472
402.277 7.45846
402.380 7.33064
402.484 7.21434
402.588 7.10510
402.692 7.00234
402.795 6.90553
402.899 6.81419
403.003 6.72792
403.107 6.64631
403.210 6.56902
403.314 6.49573
403.418 6.42615
403.625 6.29710
403.833 6.18458
404.040 6.08248
404.248 5.98948
404.404 5.92505
404.559 5.86470
404.689 5.81728
404.819 5.77226
405.078 5.68875
405.337 5.61298
405.597 5.54394
405.856 5.48392
406.115 5.42907
406.375 5.37878
406.634 5.33251
406.894 5.28982
407.153 5.25032
407.412 5.21367
407.672 5.17958
407.931 5.14779
408.190 5.11807
408.450 5.09022
408.709 5.06407
408.969 5.03947
409.228 5.01627
409.487 4.99435
409.747 4.97361
410.006 4.95535
410.265 4.93808
410.525 4.92172
410.784 4.90620
411.044 4.89168
411.303 4.87740
411.562 4.86422
411.822 4.85124
412.340 4.82735
412.859 4.80543
413.378 4.78522
413.897 4.76650
414.415 4.74922
414.515 4.74596
414.934 4.73283
415.453 4.71760
415.972 4.70327
416.490 4.68974
417.009 4.67694
417.528 4.66479
418.047 4.65321
418.565 4.64216
