Cd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1829.59 8.06568
1829.89 4.84589
1830.20 3.22427
1830.50 2.30088
1830.80 1.72408
1831.10 1.33994
1831.71 0.875688
1832.32 0.617394
1832.92 0.458614
1833.53 0.354397
1834.74 0.230090
1835.96 0.161660
1837.17 0.120011
1838.38 0.0928071
1840.81 0.0605473
1843.23 0.0428954
1845.66 0.0321905
1848.08 0.0252205
1852.94 0.0170008
1857.79 0.0125434
1867.49 0.00817889
1877.19 0.00627760
1886.89 0.00539092
1906.30 0.00501765
1925.70 0.00589099
1935.41 0.00695047
1945.11 0.00884359
1954.81 0.0126589
1959.66 0.0162893
1964.51 0.0227201
1969.36 0.0361264
1971.79 0.0493009
1974.22 0.0731254
1975.43 0.0931153
1976.64 0.123562
1977.85 0.173334
1979.07 0.263075
1979.67 0.338055
1980.28 0.451261
1980.89 0.634631
1981.19 0.771840
1981.49 0.959463
1981.80 1.22661
1981.95 1.40437
1982.10 1.62234
1982.25 1.89747
1982.40 2.24653
1982.55 2.70503
1982.71 3.31471
1982.86 4.16209
1983.01 5.36923
1983.16 7.19755
1983.31 10.1039
1983.46 15.1886
1983.54 19.2507
1983.61 25.0094
1983.69 33.7406
1983.77 47.4451
1983.84 69.9143
1983.92 106.710
1984.00 171.470
1984.09 215.655
1984.18 173.639
1984.26 109.025
1984.33 76.6062
1984.39 55.4498
1984.45 41.1913
1984.51 31.6655
1984.63 20.0776
1984.76 13.7532
1984.88 9.97150
1985.00 7.54563
1985.25 4.73986
1985.49 3.24691
1985.74 2.36149
1985.99 1.79438
1986.23 1.40974
1986.72 0.936752
1987.22 0.668220
1987.71 0.501362
1988.20 0.390873
1989.18 0.257790
1990.17 0.184052
1991.15 0.138955
1992.13 0.109478
1994.10 0.0746202
1996.07 0.0557373
2000.00 0.0374493
2004.14 0.0295321
2008.27 0.0263517
2016.54 0.0265657
2024.81 0.0327257
2033.09 0.0467304
2037.22 0.0590557
2041.36 0.0780438
2045.49 0.109134
2047.56 0.132608
2048.60 0.147399
2049.63 0.164864
2050.66 0.185728
2051.70 0.210904
2052.73 0.241661
2053.25 0.259661
2053.76 0.279772
2054.80 0.327774
2055.83 0.389396
2056.87 0.470300
2057.90 0.579295
2058.93 0.731316
2059.97 0.951980
2061.00 1.28934
2062.04 1.84151
2062.55 2.25906
2063.07 2.83347
2063.59 3.65187
2064.10 4.86851
2064.62 6.77301
2065.14 9.94301
2065.65 15.5771
2066.17 25.9314
2066.66 41.4972
2067.15 51.9230
2067.64 41.5785
2068.13 25.9903
2068.65 15.4888
2069.18 9.84364
2069.70 6.68489
2070.22 4.79457
2070.75 3.58855
2071.27 2.78085
2072.32 1.80389
2073.36 1.26081
2074.41 0.929880
2076.50 0.564699
2078.60 0.378890
2080.69 0.271852
2082.78 0.204716
2084.87 0.159941
2089.06 0.106194
2093.25 0.0778414
2095.34 0.0704041
2097.43 0.0705317
2098.48 0.0787199
2099.53 0.108522
2100.05 0.152323
2100.57 0.276264
2100.83 0.444524
2100.96 0.608219
2101.09 0.895011
