Mo-94(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
8609.57 27.9213
8609.97 20.1342
8610.37 15.8171
8610.77 13.1831
8611.58 10.2738
8612.38 8.78325
8613.19 7.91883
8613.99 7.37234
8614.79 7.00477
8616.40 6.55402
8618.01 6.29802
8619.62 6.13790
8621.22 6.03081
8624.44 5.90001
8627.65 5.82566
8634.08 5.74832
8640.51 5.71354
8646.94 5.70734
8650.16 5.72478
8653.37 5.79289
8654.98 5.89396
8656.59 6.17823
8657.39 6.55798
8657.79 6.92142
8658.19 7.55008
8658.60 8.78498
8658.80 9.90070
8659.00 11.7215
8659.20 14.9757
8659.30 17.6609
8659.40 21.5888
8659.50 27.7476
8659.60 37.7704
8659.70 55.2137
8659.80 86.4820
8659.90 135.409
8660.00 167.724
8660.10 135.199
8660.20 86.8728
8660.31 52.4729
8660.43 34.8243
8660.54 25.1489
8660.65 19.5255
8660.77 15.9609
8660.88 13.6129
8661.11 10.7855
8661.33 9.22887
8661.56 8.28428
8662.02 7.24646
8662.47 6.71943
8662.92 6.41559
8663.83 6.09661
8665.65 5.85220
8667.46 5.76050
8671.09 5.68942
8674.72 5.66097
8681.98 5.63546
8689.25 5.62230
8703.77 5.60601
8718.29 5.59432
8747.34 5.57557
8776.38 5.55930
8834.47 5.52934
8892.57 5.50046
9008.75 5.44211
9124.93 5.38006
9241.11 5.31136
9357.30 5.23177
9415.39 5.18556
9444.43 5.16016
9473.48 5.13288
9531.57 5.07466
9546.09 5.06419
9560.62 5.07026
9567.88 5.09811
9571.51 5.13190
9575.14 5.19880
9578.77 5.34874
9580.58 5.50023
9582.40 5.77608
9583.31 6.00687
9584.22 6.35559
9585.12 6.91745
9586.03 7.90535
9586.48 8.70825
9586.94 9.88971
9587.39 11.7287
9587.85 14.8054
9588.30 20.5494
9588.53 25.4713
9588.75 33.0720
9588.98 45.6128
9589.21 68.1301
9589.43 112.910
9589.55 151.713
9589.66 208.675
9589.83 331.114
9590.00 412.895
9590.17 331.456
9590.34 209.110
9590.45 152.551
9590.56 113.863
9590.79 69.2686
9591.01 46.5342
9591.23 33.8518
9591.46 26.0946
9591.68 21.0768
9592.13 15.1921
9592.57 12.0122
9593.02 10.1105
9593.91 8.05079
9594.81 7.01658
9595.70 6.42582
9596.59 6.05617
9597.49 5.80927
9599.27 5.50923
9601.06 5.33988
9604.63 5.16252
9608.21 5.07313
9611.78 5.01897
9618.93 4.95249
9633.22 4.86667
9647.51 4.78157
9661.80 4.66305
9668.95 4.57582
9676.10 4.45143
9683.24 4.25490
9686.82 4.10486
9690.39 3.88962
9692.18 3.74239
