As-75(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2048.27 37.5539
2048.38 50.0713
2048.49 69.1393
2048.59 98.9695
2048.70 145.853
2048.85 247.312
2049.00 329.606
2049.15 282.486
2049.30 189.827
2049.44 129.888
2049.58 93.3326
2049.71 70.5847
2049.85 55.7955
2050.12 38.5359
2050.40 29.3237
2050.67 23.7742
2050.95 20.1726
2051.50 15.8598
2052.05 13.4353
2052.59 11.9101
2053.14 10.8735
2053.69 10.1280
2054.79 9.13386
2055.89 8.50445
2056.99 8.07103
2058.08 7.75414
2060.28 7.31995
2062.48 7.03361
2066.87 6.67081
2071.26 6.44178
2075.65 6.27743
2084.44 6.04443
2102.00 5.74034
2119.57 5.52317
2154.70 5.18840
2172.27 5.03931
2176.66 4.99992
2181.05 4.95599
2183.25 4.93015
2185.45 4.89933
2186.54 4.88238
2187.64 4.87242
2188.19 4.88524
2188.47 4.90849
2188.74 4.96094
2189.02 5.08605
2189.15 5.21083
2189.29 5.42604
2189.43 5.82601
2189.56 6.65154
2189.63 7.41486
2189.70 8.62014
2189.77 10.6615
2189.84 14.0668
2189.92 20.5715
2190.00 25.6583
2190.08 22.5001
2190.16 16.5825
2190.25 12.4767
2190.33 10.1019
2190.41 8.66399
2190.49 7.76752
2190.57 7.16261
2190.65 6.74543
2190.82 6.21149
2190.98 5.89591
2191.14 5.69231
2191.47 5.45145
2191.79 5.31607
2192.12 5.23101
2192.77 5.13044
2194.07 5.03523
2195.37 4.98735
2197.98 4.93346
2200.58 4.89866
2205.79 4.84658
2211.00 4.80285
2221.42 4.72415
2226.63 4.69192
2227.93 4.68916
2229.24 4.69864
2229.89 4.71921
2230.54 4.78056
2230.86 4.86040
2231.19 5.05246
2231.35 5.26694
2231.51 5.70383
2231.60 6.11170
2231.68 6.77421
2231.76 7.92671
2231.84 9.99046
2231.92 13.2114
2232.00 15.3201
2232.08 13.1699
2232.16 9.99064
2232.25 7.70936
2232.35 6.54607
2232.44 5.90891
2232.53 5.54004
2232.72 5.15209
2232.90 4.96638
2233.27 4.80100
2233.64 4.73095
2234.38 4.67163
2235.12 4.64537
2236.60 4.61806
2238.08 4.60027
2244.00 4.54169
2246.96 4.50961
2249.92 4.47056
2251.40 4.44678
2252.88 4.42309
2253.62 4.42092
2253.99 4.43135
2254.36 4.46405
2254.73 4.55622
2254.91 4.65730
2255.10 4.84372
2255.28 5.21803
2255.37 5.55361
2255.47 6.07497
2255.56 6.94940
2255.65 8.48286
2255.74 11.4034
2255.84 17.2426
2255.92 26.2470
2256.00 33.2415
2256.08 28.8010
2256.17 20.5790
2256.23 16.0591
2256.29 13.0317
2256.35 11.0092
2256.41 9.62277
2256.54 7.92529
2256.66 6.97961
2256.78 6.39162
2256.91 6.00301
2257.16 5.53517
2257.40 5.26925
2257.65 5.10241
2258.15 4.90715
2258.64 4.79837
2259.14 4.72938
2260.12 4.64642
2262.10 4.56323
2264.08 4.51691
2268.04 4.45638
2272.00 4.40863
2275.96 4.36193
2277.94 4.33661
2279.92 4.30829
2281.89 4.27497
2283.87 4.23533
2284.86 4.21768
2285.36 4.21544
2285.85 4.22867
2286.35 4.28827
2286.60 4.36464
2286.84 4.51742
2287.09 4.85247
2287.21 5.17150
2287.34 5.69700
2287.46 6.64028
2287.58 8.46676
2287.65 10.0688
2287.71 12.5203
2287.77 16.3813
2287.83 22.3745
2287.92 35.2082
2288.00 45.2101
2288.09 38.7975
2288.17 27.0465
2288.25 19.1914
2288.33 14.5869
2288.41 11.7676
2288.50 9.99594
2288.58 8.79412
2288.66 7.96236
2288.82 6.89469
2288.98 6.26260
2289.15 5.85486
2289.47 5.37345
2289.80 5.10424
2290.12 4.93624
2290.77 4.73998
2291.43 4.63011
2292.08 4.55984
2293.38 4.47398
2294.68 4.42180
2295.98 4.38518
2298.59 4.33374
2301.19 4.29583
2303.80 4.26420
2309.00 4.20914
2314.21 4.15763
2319.42 4.10428
2322.03 4.07473
2324.63 4.04108
2325.93 4.02249
2327.23 4.00712
2327.88 4.01004
2328.54 4.05343
2328.86 4.13381
2329.02 4.21781
2329.19 4.36645
2329.35 4.65550
2329.43 4.90715
2329.51 5.28746
2329.59 5.90568
2329.68 6.94284
2329.76 8.80621
2329.84 12.2636
2329.92 18.0379
2330.00 22.4933
2330.08 19.5897
2330.16 14.2944
2330.23 11.1408
2330.30 9.12808
2330.37 7.83768
2330.43 6.99113
2330.57 5.96957
2330.71 5.41715
2330.84 5.08033
2330.98 4.86169
