24-Cr_n-tot
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
1.921130e+04 2.71459555e+00
1.921150e+04 2.71180620e+00
1.921190e+04 2.73915454e+00
1.921260e+04 2.90142925e+00
1.921300e+04 3.00313581e+00
1.921340e+04 3.20702830e+00
1.921410e+04 3.56890777e+00
1.921470e+04 4.06343970e+00
1.921490e+04 4.29880083e+00
1.921530e+04 4.77089178e+00
1.921610e+04 6.35085058e+00
1.921650e+04 6.81261867e+00
1.921700e+04 7.39040822e+00
1.921790e+04 6.33728730e+00
1.921880e+04 4.77381495e+00
1.921950e+04 3.85563846e+00
1.921960e+04 3.78728909e+00
1.922030e+04 3.30916908e+00
1.922110e+04 2.97024376e+00
1.922180e+04 2.75660274e+00
1.922260e+04 2.62624067e+00
1.922330e+04 2.51232502e+00
1.922490e+04 2.38677687e+00
1.922640e+04 2.31347949e+00
1.922790e+04 2.26748332e+00
1.923100e+04 2.21420414e+00
1.923400e+04 2.18529140e+00
1.923500e+04 2.17950848e+00
1.923710e+04 2.16749382e+00
1.924010e+04 2.15547012e+00
1.924320e+04 2.14657071e+00
1.924930e+04 2.13397270e+00
1.925540e+04 2.12490548e+00
1.925970e+04 2.11973623e+00
1.926150e+04 2.11758804e+00
1.926760e+04 2.11126222e+00
1.927980e+04 2.10010528e+00
1.928440e+04 2.09627668e+00
1.929200e+04 2.08995858e+00
1.930900e+04 2.07668633e+00
1.931110e+04 2.07504972e+00
1.931640e+04 2.07028963e+00
1.932090e+04 2.06637216e+00
1.933920e+04 2.05056475e+00
1.934080e+04 2.04926678e+00
1.934840e+04 2.04318653e+00
1.935290e+04 2.04142731e+00
1.935520e+04 2.04681201e+00
