Sb-123(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
509.851 4.14599
512.313 4.13470
514.776 4.12393
516.007 4.11958
517.238 4.11876
517.854 4.12341
518.470 4.14248
518.778 4.17121
518.931 4.19996
519.085 4.25150
519.239 4.35682
519.316 4.45594
519.393 4.62442
519.470 4.94553
519.509 5.22683
519.547 5.66979
519.586 6.42623
519.624 7.85279
519.643 9.07665
519.663 10.9225
519.682 13.8098
519.701 18.3527
519.726 26.9281
519.750 32.6147
519.775 26.8920
519.799 18.3539
519.824 12.7623
519.850 9.67777
519.875 7.92061
519.900 6.85563
519.925 6.17101
519.950 5.70833
520.001 5.14482
520.051 4.82961
520.102 4.63632
520.202 4.42205
520.303 4.31207
520.404 4.24826
520.605 4.18052
520.807 4.14680
521.008 4.12724
521.411 4.10574
522.217 4.08573
523.023 4.07388
524.635 4.05409
526.247 4.03198
527.054 4.01858
527.860 4.00276
528.666 3.98372
529.472 3.96075
529.875 3.94797
530.278 3.93527
530.681 3.92534
531.084 3.92669
531.285 3.93901
531.487 3.96951
531.688 4.03797
531.890 4.19357
531.990 4.34103
532.091 4.58082
532.192 4.99311
532.293 5.75707
532.393 7.34751
532.444 8.83667
532.494 11.3121
