33-As_n-tot
>  33-As-75:1.000000
1.127790e+03 5.16635000e+00
1.133630e+03 4.97298000e+00
1.139470e+03 4.83270000e+00
1.145320e+03 4.71709000e+00
1.157000e+03 4.51915000e+00
1.180380e+03 4.16100000e+00
1.203750e+03 3.78509000e+00
1.227130e+03 3.34407000e+00
1.238820e+03 3.08764000e+00
1.250500e+03 2.81276000e+00
1.256350e+03 2.68127000e+00
1.262190e+03 2.57736000e+00
1.268030e+03 2.55266000e+00
1.273880e+03 2.74688000e+00
1.276800e+03 3.03666000e+00
1.279720e+03 3.59797000e+00
1.282640e+03 4.68345000e+00
1.285560e+03 6.87170000e+00
1.287020e+03 8.78184000e+00
1.288490e+03 1.16976000e+01
1.289950e+03 1.63427000e+01
1.291410e+03 2.41759000e+01
1.292870e+03 3.84442000e+01
1.293600e+03 5.01794000e+01
1.294330e+03 6.73516000e+01
1.295060e+03 9.35299000e+01
1.295790e+03 1.35042000e+02
1.296520e+03 2.03617000e+02
1.297250e+03 3.18510000e+02
1.298130e+03 5.34432000e+02
1.299000e+03 7.00589000e+02
1.299880e+03 5.87721000e+02
1.300750e+03 3.85329000e+02
1.301560e+03 2.56727000e+02
1.302370e+03 1.79051000e+02
1.303180e+03 1.31445000e+02
1.303990e+03 1.00879000e+02
1.305600e+03 6.58028000e+01
1.307220e+03 4.72976000e+01
